Tanggal,mean_wib,mean_wita,mean_wit
2021-07-29,15092.0,15783.0,16725.0
2021-07-30,15128.0,15788.0,16725.0
2021-07-31,15128.0,15788.0,16725.0
2021-08-01,15128.0,15788.0,16725.0
2021-08-02,15225.0,15788.0,16725.0
2021-08-03,15253.0,15792.0,16725.0
2021-08-04,15281.0,15800.0,16725.0
2021-08-05,15286.0,15833.0,16738.0
2021-08-06,15317.0,15838.0,16738.0
2021-08-07,15317.0,15838.0,16738.0
2021-08-08,15317.0,15838.0,16738.0
2021-08-09,15347.0,15850.0,16738.0
2021-08-10,15364.0,15858.0,16738.0
2021-08-11,15364.0,15858.0,16738.0
2021-08-12,15375.0,15854.0,16738.0
2021-08-13,15394.0,15838.0,16738.0
2021-08-14,15394.0,15838.0,16738.0
2021-08-15,15394.0,15838.0,16738.0
2021-08-16,15419.0,15904.0,16700.0
2021-08-17,15419.0,15904.0,16700.0
2021-08-18,15442.0,15933.0,16662.0
2021-08-19,15492.0,15942.0,16688.0
2021-08-20,15503.0,15942.0,16688.0
2021-08-21,15503.0,15942.0,16688.0
2021-08-22,15503.0,15942.0,16688.0
2021-08-23,15536.0,15979.0,16688.0
2021-08-24,15544.0,15979.0,16688.0
2021-08-25,15564.0,15983.0,16688.0
2021-08-26,15567.0,16008.0,16688.0
2021-08-27,15575.0,16008.0,16688.0
2021-08-28,15575.0,16008.0,16688.0
2021-08-29,15575.0,16008.0,16688.0
2021-08-30,15611.0,16008.0,16700.0
2021-08-31,15617.0,16008.0,16700.0
2021-09-01,15619.0,16033.0,16700.0
2021-09-02,15642.0,16054.0,16700.0
2021-09-03,15644.0,16050.0,16700.0
2021-09-04,15644.0,16050.0,16700.0
2021-09-05,15644.0,16050.0,16700.0
2021-09-06,15650.0,16133.0,16712.0
2021-09-07,15689.0,16142.0,16700.0
2021-09-08,15706.0,16154.0,16712.0
2021-09-09,15714.0,16150.0,16712.0
2021-09-10,15722.0,16171.0,16725.0
2021-09-11,15722.0,16171.0,16725.0
2021-09-12,15722.0,16171.0,16725.0
2021-09-13,15750.0,16212.0,16725.0
2021-09-14,15778.0,16212.0,16725.0
2021-09-15,15792.0,16229.0,16688.0
2021-09-16,15794.0,16233.0,16688.0
2021-09-17,15800.0,16242.0,16688.0
2021-09-18,15800.0,16242.0,16688.0
2021-09-19,15800.0,16242.0,16688.0
2021-09-20,15806.0,16238.0,16688.0
2021-09-21,15844.0,16262.0,16662.0
